time [s],ax [km/s^2],ay [km/s^2],az [km/s^2],dvx [km/s],dvy [km/s],dvz [km/s],sum_dvx [km/s],sum_dvy [km/s],sum_dvz [km/s]
0.0,0.0,-3.285002999635821e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,-3.4515006963800654e-12,3.8546335430538144e-16,0.0,-3.4515006963800654e-12,3.8546335430538144e-16,0.0,-3.4515006963800654e-12,3.8546335430538144e-16,0.0
2.0,-1.7257513932293952e-12,3.854632039110084e-16,0.0,-1.7257513932293952e-12,3.854632039110084e-16,0.0,-5.177252089609461e-12,7.709265582163898e-16,0.0
3.0,-1.1505020896868987e-12,3.854629562494542e-16,0.0,-1.1505020896868987e-12,3.854629562494542e-16,0.0,-6.327754179296359e-12,1.156389514465844e-15,0.0
4.0,-8.628777861720094e-13,3.8546261046126164e-16,0.0,-8.628777861720094e-13,3.8546261046126164e-16,0.0,-7.190631965468368e-12,1.5418521249271057e-15,0.0
5.0,-6.903034826566593e-13,3.8546216634094616e-16,0.0,-6.903034826566593e-13,3.8546216634094616e-16,0.0,-7.880935448125027e-12,1.927314291268052e-15,0.0
6.0,-5.752541791600278e-13,3.854616237999025e-16,0.0,-5.752541791600278e-13,3.854616237999025e-16,0.0,-8.456189627285055e-12,2.3127759150679545e-15,0.0
7.0,-4.930763042428455e-13,3.854609827946784e-16,0.0,-4.930763042428455e-13,3.854609827946784e-16,0.0,-8.9492659315279e-12,2.6982368978626327e-15,0.0
8.0,-4.314430721906859e-13,3.8546024331122793e-16,0.0,-4.314430721906859e-13,3.8546024331122793e-16,0.0,-9.380709003718585e-12,3.0836971411738606e-15,0.0
9.0,-3.8350626871890804e-13,3.8545940534006883e-16,0.0,-3.8350626871890804e-13,3.8545940534006883e-16,0.0,-9.764215272437493e-12,3.4691565465139294e-15,0.0
10.0,-3.4515696526198714e-13,3.854584688798815e-16,0.0,-3.4515696526198714e-13,3.854584688798815e-16,0.0,-1.0109372237699481e-11,3.854615015393811e-15,0.0
11.0,-3.1378038910204546e-13,3.854574339419102e-16,0.0,-3.1378038910204546e-13,3.854574339419102e-16,0.0,-1.0423152626801526e-11,4.240072449335721e-15,0.0
12.0,-2.876333584424405e-13,3.85456300561292e-16,0.0,-2.876333584424405e-13,3.85456300561292e-16,0.0,-1.0710785985243966e-11,4.625528749897014e-15,0.0
13.0,-2.6550905513326826e-13,3.8545506879277086e-16,0.0,-2.6550905513326826e-13,3.8545506879277086e-16,0.0,-1.0976295040377234e-11,5.010983818689784e-15,0.0
14.0,-2.4654546624469707e-13,3.8545373876106017e-16,0.0,-2.4654546624469707e-13,3.8545373876106017e-16,0.0,-1.122284050662193e-11,5.396437557450844e-15,0.0
15.0,-2.3011044900654843e-13,3.854523106523349e-16,0.0,-2.3011044900654843e-13,3.854523106523349e-16,0.0,-1.145295095562848e-11,5.781889868103179e-15,0.0
16.0,-2.157298964095991e-13,3.8545078477897443e-16,0.0,-2.157298964095991e-13,3.8545078477897443e-16,0.0,-1.1668680852038079e-11,6.1673406528821534e-15,0.0
17.0,-2.030412561331568e-13,3.854491616449765e-16,0.0,-2.030412561331568e-13,3.854491616449765e-16,0.0,-1.1871722108171236e-11,6.55278981452713e-15,0.0
18.0,-1.9176254317258841e-13,3.854474420219715e-16,0.0,-1.9176254317258841e-13,3.854474420219715e-16,0.0,-1.2063484651343824e-11,6.938237256549101e-15,0.0
19.0,-1.816711379693979e-13,3.8544562705611426e-16,0.0,-1.816711379693979e-13,3.8544562705611426e-16,0.0,-1.2245155789313222e-11,7.323682883605216e-15,0.0
20.0,-1.725889451234831e-13,3.8544371847044025e-16,0.0,-1.725889451234831e-13,3.8544371847044025e-16,0.0,-1.2417744734436706e-11,7.709126602075656e-15,0.0
21.0,-1.6437179248677788e-13,3.8544171871345453e-16,0.0,-1.6437179248677788e-13,3.8544171871345453e-16,0.0,-1.2582116526923484e-11,8.094568320789111e-15,0.0
22.0,-1.5690172144616772e-13,3.8543963126510444e-16,0.0,-1.5690172144616772e-13,3.8543963126510444e-16,0.0,-1.2739018248369651e-11,8.480007952054217e-15,0.0
23.0,-1.5008128846262812e-13,3.8543746097487265e-16,0.0,-1.5008128846262812e-13,3.8543746097487265e-16,0.0,-1.2889099536832279e-11,8.865445413029089e-15,0.0
24.0,-1.4382929126070314e-13,3.8543521449372015e-16,0.0,-1.4382929126070314e-13,3.8543521449372015e-16,0.0,-1.3032928828092983e-11,9.250880627522809e-15,0.0
25.0,-1.3807752077317582e-13,3.854329008370283e-16,0.0,-1.3807752077317582e-13,3.854329008370283e-16,0.0,-1.3171006348866159e-11,9.636313528359837e-15,0.0
26.0,-1.327682626812204e-13,3.8543053204670483e-16,0.0,-1.327682626812204e-13,3.8543053204670483e-16,0.0,-1.330377461154738e-11,1.0021744060406542e-14,0.0
27.0,-1.278523542211012e-13,3.8542812404200286e-16,0.0,-1.278523542211012e-13,3.8542812404200286e-16,0.0,-1.343162696576848e-11,1.0407172184448545e-14,0.0
28.0,-1.232876574486141e-13,3.8542569764895816e-16,0.0,-1.232876574486141e-13,3.8542569764895816e-16,0.0,-1.3554914623217095e-11,1.0792597882097504e-14,0.0
29.0,-1.1903784844489963e-13,3.8542327981538486e-16,0.0,-1.1903784844489963e-13,3.8542327981538486e-16,0.0,-1.3673952471661994e-11,1.1178021161912889e-14,0.0
30.0,-1.1507144875799143e-13,3.8542090512623716e-16,0.0,-1.1507144875799143e-13,3.8542090512623716e-16,0.0,-1.3789023920419986e-11,1.1563442067039126e-14,0.0
31.0,-1.1136104438921773e-13,3.854186175601444e-16,0.0,-1.1136104438921773e-13,3.854186175601444e-16,0.0,-1.3900384964809205e-11,1.1948860684599271e-14,0.0
32.0,-1.0788265131521833e-13,3.854164726267863e-16,0.0,-1.0788265131521833e-13,3.854164726267863e-16,0.0,-1.4008267616124423e-11,1.2334277157226057e-14,0.0
33.0,-1.0461519646906759e-13,3.854145398257003e-16,0.0,-1.0461519646906759e-13,3.854145398257003e-16,0.0,-1.411288281259349e-11,1.2719691697051757e-14,0.0
34.0,-1.0154009043197314e-13,3.854129056039083e-16,0.0,-1.0154009043197314e-13,3.854129056039083e-16,0.0,-1.4214422903025464e-11,1.3105104602655665e-14,0.0
35.0,-9.86408734997645e-14,3.8541167674468114e-16,0.0,-9.86408734997645e-14,3.8541167674468114e-16,0.0,-1.4313063776525228e-11,1.3490516279400347e-14,0.0
36.0,-9.590292087855388e-14,3.8541098435512525e-16,0.0,-9.590292087855388e-14,3.8541098435512525e-16,0.0,-1.4408966697403782e-11,1.3875927263755473e-14,0.0
37.0,-9.33131958380478e-14,3.854109884562623e-16,0.0,-9.33131958380478e-14,3.854109884562623e-16,0.0,-1.450227989324183e-11,1.4261338252211737e-14,0.0
38.0,-9.086004200543722e-14,3.854118832924838e-16,0.0,-9.086004200543722e-14,3.854118832924838e-16,0.0,-1.459313993524727e-11,1.464675013550422e-14,0.0
39.0,-8.853300779413718e-14,3.8541390339085335e-16,0.0,-8.853300779413718e-14,3.8541390339085335e-16,0.0,-1.4681672943041407e-11,1.5032164038895073e-14,0.0
40.0,-8.632269736478652e-14,3.8541733053147043e-16,0.0,-8.632269736478652e-14,3.8541733053147043e-16,0.0,-1.4767995640406194e-11,1.5417581369426543e-14,0.0
41.0,-8.422064360849326e-14,3.8542250166320806e-16,0.0,-8.422064360849326e-14,3.8542250166320806e-16,0.0,-1.485221628401469e-11,1.580300387108975e-14,0.0
42.0,-8.221919950536159e-14,3.854298179041688e-16,0.0,-8.221919950536159e-14,3.854298179041688e-16,0.0,-1.493443548352005e-11,1.618843368899392e-14,0.0
43.0,-8.031144488999326e-14,3.854397547334431e-16,0.0,-8.031144488999326e-14,3.854397547334431e-16,0.0,-1.5014746928410043e-11,1.6573873443727364e-14,0.0
44.0,-7.849110619772871e-14,3.8545287346750044e-16,0.0,-7.849110619772871e-14,3.8545287346750044e-16,0.0,-1.509323803460777e-11,1.6959326317194864e-14,0.0
45.0,-7.675248720001654e-14,3.8546983423040614e-16,0.0,-7.675248720001654e-14,3.8546983423040614e-16,0.0,-1.516999052180779e-11,1.734479615142527e-14,0.0
46.0,-7.50904090801836e-14,3.8549141043693657e-16,0.0,-7.50904090801836e-14,3.8549141043693657e-16,0.0,-1.524508093088797e-11,1.7730287561862206e-14,0.0
47.0,-7.350015849159449e-14,3.855185050444136e-16,0.0,-7.350015849159449e-14,3.855185050444136e-16,0.0,-1.5318581089379567e-11,1.811580606690662e-14,0.0
48.0,-7.197744246185928e-14,3.8555216871195317e-16,0.0,-7.197744246185928e-14,3.8555216871195317e-16,0.0,-1.5390558531841426e-11,1.8501358235618574e-14,0.0
49.0,-7.051834919493177e-14,3.8559361994949605e-16,0.0,-7.051834919493177e-14,3.8559361994949605e-16,0.0,-1.5461076881036357e-11,1.888695185556807e-14,0.0
50.0,-6.911931398230729e-14,3.8564426760610067e-16,0.0,-6.911931398230729e-14,3.8564426760610067e-16,0.0,-1.5530196195018664e-11,1.927259612317417e-14,0.0
51.0,-6.777708955095725e-14,3.857057356907747e-16,0.0,-6.777708955095725e-14,3.857057356907747e-16,0.0,-1.559797328456962e-11,1.9658301858864944e-14,0.0
52.0,-6.648872029118515e-14,3.8577989092587604e-16,0.0,-6.648872029118515e-14,3.8577989092587604e-16,0.0,-1.5664462004860805e-11,2.004408174979082e-14,0.0
53.0,-6.525151988505803e-14,3.8586887309462935e-16,0.0,-6.525151988505803e-14,3.8586887309462935e-16,0.0,-1.5729713524745864e-11,2.042995062288545e-14,0.0
54.0,-6.406305193555476e-14,3.8597512850365605e-16,0.0,-6.406305193555476e-14,3.8597512850365605e-16,0.0,-1.579377657668142e-11,2.0815925751389105e-14,0.0
55.0,-6.292111325286157e-14,3.8610144676730795e-16,0.0,-6.292111325286157e-14,3.8610144676730795e-16,0.0,-1.5856697689934282e-11,2.120202719815641e-14,0.0
56.0,-6.182371950871358e-14,3.862510012000851e-16,0.0,-6.182371950871358e-14,3.862510012000851e-16,0.0,-1.5918521409442995e-11,2.1588278199356498e-14,0.0
57.0,-6.076909300956587e-14,3.864273930542009e-16,0.0,-6.076909300956587e-14,3.864273930542009e-16,0.0,-1.597929050245256e-11,2.19747055924107e-14,0.0
58.0,-5.975565237771076e-14,3.8663469989687273e-16,0.0,-5.975565237771076e-14,3.8663469989687273e-16,0.0,-1.6039046154830273e-11,2.2361340292307572e-14,0.0
59.0,-5.878200396164666e-14,3.868775284848602e-16,0.0,-5.878200396164666e-14,3.868775284848602e-16,0.0,-1.609782815879192e-11,2.2748217820792433e-14,0.0
60.0,-5.784693481918189e-14,3.8716107234383805e-16,0.0,-5.784693481918189e-14,3.8716107234383805e-16,0.0,-1.6155675093611103e-11,2.313537889313627e-14,0.0
61.0,-5.694940714475302e-14,3.874911745132117e-16,0.0,-5.694940714475302e-14,3.874911745132117e-16,0.0,-1.6212624500755857e-11,2.3522870067649484e-14,0.0
62.0,-5.608855402707643e-14,3.8787439569453146e-16,0.0,-5.608855402707643e-14,3.8787439569453146e-16,0.0,-1.6268713054782934e-11,2.3910744463344017e-14,0.0
63.0,-5.526367644338678e-14,3.8831808826417105e-16,0.0,-5.526367644338678e-14,3.8831808826417105e-16,0.0,-1.632397673122632e-11,2.429906255160819e-14,0.0
64.0,-5.447424140869629e-14,3.8883047646126115e-16,0.0,-5.447424140869629e-14,3.8883047646126115e-16,0.0,-1.6378450972635017e-11,2.468789302806945e-14,0.0
65.0,-5.3719881212340006e-14,3.894207432202091e-16,0.0,-5.3719881212340006e-14,3.894207432202091e-16,0.0,-1.643217085384736e-11,2.507731377128966e-14,0.0
66.0,-5.3000393683986303e-14,3.9009912401508604e-16,0.0,-5.3000393683986303e-14,3.9009912401508604e-16,0.0,-1.6485171247531346e-11,2.5467412895304747e-14,0.0
67.0,-5.231574344180924e-14,3.908770082034378e-16,0.0,-5.231574344180924e-14,3.908770082034378e-16,0.0,-1.6537486990973154e-11,2.5858289903508186e-14,0.0
68.0,-5.166606408198986e-14,3.917670482858291e-16,0.0,-5.166606408198986e-14,3.917670482858291e-16,0.0,-1.6589153055055145e-11,2.6250056951794014e-14,0.0
69.0,-5.105166127920321e-14,3.9278327762037164e-16,0.0,-5.105166127920321e-14,3.9278327762037164e-16,0.0,-1.6640204716334347e-11,2.6642840229414386e-14,0.0
70.0,-5.0473016770328365e-14,3.939412370452476e-16,0.0,-5.0473016770328365e-14,3.939412370452476e-16,0.0,-1.6690677733104676e-11,2.7036781466459634e-14,0.0
71.0,-4.993079320149277e-14,3.9525811095954554e-16,0.0,-4.993079320149277e-14,3.9525811095954554e-16,0.0,-1.674060852630617e-11,2.743203957741918e-14,0.0
72.0,-4.9425839824245465e-14,3.9675287339153876e-16,0.0,-4.9425839824245465e-14,3.9675287339153876e-16,0.0,-1.6790034366130416e-11,2.782879245081072e-14,0.0
73.0,-4.8959199028829085e-14,3.9844644466514284e-16,0.0,-4.8959199028829085e-14,3.9844644466514284e-16,0.0,-1.6838993565159244e-11,2.8227238895475862e-14,0.0
74.0,-4.853211370863831e-14,4.0036185920695924e-16,0.0,-4.853211370863831e-14,4.0036185920695924e-16,0.0,-1.6887525678867884e-11,2.862760075468282e-14,0.0
75.0,-4.814603545172029e-14,4.025244451155378e-16,0.0,-4.814603545172029e-14,4.025244451155378e-16,0.0,-1.6935671714319602e-11,2.903012519979836e-14,0.0
76.0,-4.7802633560522057e-14,4.049620161731546e-16,0.0,-4.7802633560522057e-14,4.049620161731546e-16,0.0,-1.6983474347880123e-11,2.943508721597152e-14,0.0
77.0,-4.7503804901631843e-14,4.0770507691973667e-16,0.0,-4.7503804901631843e-14,4.0770507691973667e-16,0.0,-1.7030978152781756e-11,2.9842792292891254e-14,0.0
78.0,-4.725168459265053e-14,4.1078704152093754e-16,0.0,-4.725168459265053e-14,4.1078704152093754e-16,0.0,-1.7078229837374408e-11,3.025357933441219e-14,0.0
79.0,-4.7048657531272274e-14,4.142444670605462e-16,0.0,-4.7048657531272274e-14,4.142444670605462e-16,0.0,-1.712527849490568e-11,3.066782380147274e-14,0.0
80.0,-4.6897370781059085e-14,4.181173021416194e-16,0.0,-4.6897370781059085e-14,4.181173021416194e-16,0.0,-1.717217586568674e-11,3.108594110361436e-14,0.0
81.0,-4.6800746821334905e-14,4.224491514054204e-16,0.0,-4.6800746821334905e-14,4.224491514054204e-16,0.0,-1.7218976612508073e-11,3.1508390255019775e-14,0.0
82.0,-4.6761997678746665e-14,4.2728755686267423e-16,0.0,-4.6761997678746665e-14,4.2728755686267423e-16,0.0,-1.726573861018682e-11,3.193567781188245e-14,0.0
